id,title,artist,danceability,decade,Track URI,Genre
SOOXUQH144BE5362B3,Promiscuous,Nelly Furtado,0.795387,2000s,http://dbpedia.org/resource/Promiscuous_(song),Electronic HipHop Pop
SONTDWG144FD86EC10,Say It Right,Nelly Furtado,0.800811,2000s,http://dbpedia.org/resource/Say_It_Right,HipHop Pop
SOKHUIW13E90638317,Shut Up,The Black Eyed Peas,0.762451,2000s,http://dbpedia.org/resource/Shut_Up_(The_Black_Eyed_Peas_song),HipHop
SOAJHEY144B9F67BDF,A Thousand Miles,Vanessa Carlton,0.568449,2000s,http://dbpedia.org/resource/A_Thousand_Miles,Rock
SOUQVFP13741BDB385,The Way I Are,Timbaland,0.713715,2000s,http://dbpedia.org/resource/The_Way_I_Are,HipHop
SOMRDNC136CB079C0E,Gold Digger,Kanye West,0.682832,2000s,http://dbpedia.org/resource/Gold_Digger_(Kanye_West_song),HipHop
SOMZGAB13E87AEECC3,Fuck It (I Don't Want You Back),Eamon,0.798046,2000s,http://dbpedia.org/resource/Fuck_It_(I_Don%27t_Want_You_Back),Electronic HipHop
SOYPYQD146194086AF,Stan,Eminem,0.688883,2000s,http://dbpedia.org/resource/Stan_(song),Electronic HipHop
SOPTPCY13E907DABF6,Oops!...I Did It Again,Britney Spears,0.735927,2000s,http://dbpedia.org/resource/Oops!..._I_Did_It_Again_(song),Pop
SOARAGH14124566742,Viva La Vida,Coldplay,0.480452,2000s,http://dbpedia.org/resource/Viva_la_Vida,Rock
SOSQFGB136F2064CAF,Hey There Delilah,Plain White T's,0.655194,2000s,http://dbpedia.org/resource/Hey_There_Delilah,Rock Pop
SODJNGM142ECDEBF86,Hollaback Girl,Gwen Stefani,0.959466,2000s,http://dbpedia.org/resource/Hollaback_Girl,HipHop Funk/Soul Pop
SORVQOS13778FC3BEC,I'm Yours,Jason Mraz,0.6816,2000s,http://dbpedia.org/resource/I%27m_Yours_(Jason_Mraz_song),Rock Pop
SOARCRK1315CD473AE,Don't Phunk With My Heart,The Black Eyed Peas,0.68405,2000s,http://dbpedia.org/resource/Don%27t_Phunk_with_My_Heart,Electronic HipHop
SOSRDPS144B28ECEB5,Ms. Jackson,OutKast,0.831453,2000s,http://dbpedia.org/resource/Ms._Jackson,HipHop
SOQMNSC1376DC31A7F,Single Ladies,Beyonce,0.763402,2000s,http://dbpedia.org/resource/Single_Ladies_(Put_a_Ring_on_It),HipHop
SOOQLCN144BE6BD95D,Angel,Shaggy,0.742771,2000s,http://dbpedia.org/resource/Angel_(Shaggy_song),HipHop
SOGOGKE145183DF2E5,Maria Maria,Santana,0.748737,2000s,http://dbpedia.org/resource/Maria_Maria,HipHop
SOGUUUH13732AA3830,Hero,Enrique Iglesias,0.56574,2000s,http://dbpedia.org/resource/Hero_(Enrique_Iglesias_song),Electronic Pop
SORBHEV1373FF29C21,Lose My Breath,Destiny's Child,0.808811,2000s,http://dbpedia.org/resource/Lose_My_Breath,Pop
SOMAVMS144BEFB21DE,Take A Bow,Rihanna,0.565663,2000s,http://dbpedia.org/resource/Take_a_Bow_(Rihanna_song),Electronic Pop
SONULWU13AA4EEECB3,Disturbia,Rihanna,0.687489,2000s,http://dbpedia.org/resource/Disturbia_(song),HipHop Funk/Soul Pop
SOFITIF144BE53DEBE,Don't Matter,Akon,0.811616,2000s,http://dbpedia.org/resource/Don%27t_Matter,HipHop Pop
SOGATRA13E905CAE22,Mercy,Duffy,0.787611,2000s,http://dbpedia.org/resource/Mercy_(Duffy_song),Funk/Soul
SOJFUCP1374013CBC0,Smack That,Akon,0.903377,2000s,http://dbpedia.org/resource/Smack_That,HipHop
SONHJFZ13D52D77BDF,Let Me Love You,Mario,0.665465,2000s,http://dbpedia.org/resource/Let_Me_Love_You_(Mario_song),Electronic HipHop
SOTGTBO136959DD500,White Flag,Dido,0.637419,2000s,http://dbpedia.org/resource/White_Flag_(song),Electronic
SOOBYED145B06FF603,How to Save a Life,The Fray,0.639448,2000s,http://dbpedia.org/resource/How_to_Save_a_Life,Rock
SOBBKWD13672B36DF0,If I Were A Boy,Beyonce,0.700548,2000s,http://dbpedia.org/resource/If_I_Were_a_Boy,Funk/Soul
SOBVZLQ14745051A62,Love Don't Cost a Thing,Jennifer Lopez,0.705129,2000s,http://dbpedia.org/resource/Love_Don%27t_Cost_a_Thing_(song),Electronic HipHop
SOMRNDY13E8F0C72AD,Hanging By A Moment,Lifehouse,0.501671,2000s,http://dbpedia.org/resource/Hanging_by_a_Moment,Rock
SOPWFUD13B1C88302E,The Real Slim Shady,Eminem,0.907038,2000s,http://dbpedia.org/resource/The_Real_Slim_Shady,HipHop
SOEHNCE12A6310EAF0,Just Lose It,Eminem,0.960278,2000s,http://dbpedia.org/resource/Just_Lose_It,HipHop
SOJZPRO13E907C43F9,Ain't No Other Man,Christina Aguilera,0.76594,2000s,http://dbpedia.org/resource/Ain%27t_No_Other_Man,HipHop Pop
SOSLTMI1506B009A9C,(Everything I Do) I Do It for You,Bryan Adams,0.279869,1990s,http://dbpedia.org/resource/(Everything_I_Do)_I_Do_It_for_You,Rock Pop Stage&Screen
SOCFUDQ135CD8430FF,Nothing Compares 2 U,Sinead O'Connor,0.541595,1990s,http://dbpedia.org/resource/Nothing_Compares_2_U,Electronic Rock Funk/Soul
